Note Names from C	Number Of Notes In Scale	Ascending Note Positions in Scale	Binary 12notes 1&0	Pitch Set binary	Name Of Scale	Alternative Scale Names	Flatmost Note	PitchSet Notation 12 edo	PositionOfTonic	Sharpmost Note	Composer	Reference Url	WorkExample
 .		 .			Template for any scale	template any							
C  .	1	1 .	100000000000	2048	Unison		C	0	1	C			
C G .	2	1 5 .	100000010000	2064	Fifth Interval		C	0 7	1	G			
C F .	2	1 4 .	100001000000	2112	Fourth		F	0 5	2	C			
C D G .	3	1 2 5 .	101000010000	2576	Theoretical - No Known Name	DADGAD	C	0 2 7	1	D			
C F G .	3	1 4 5 .	100001010000	2128	Raga Sarvarsi (India)		F	0 5 7	2	G			
C F Bb .	3	1 4 7b .	100001000010	2114	Sanagari (Japan)		Bb	0 5 10	3	C			
C D .	2	1 2 .	101000000000	2560	Do Re Wholetone or Large Interval		C	0 2	1	D			
C Bb .	2	1 7b .	100000000010	2050	Flat Seventh Interval		Bb	0 10	3	C			
C D G A .	4	1 2 5 6 .	101000010100	2580	Theoretical - No Known Name		C	0 2 7 9	1	A			
C D F G .	4	1 2 4 5 .	101001010000	2640	Major Suspended 4th Chord	Genus Primum	F	0 2 5 7	2	D			
C F G Bb .	4	1 4 5 7b .	100001010010	2130	Major b7 Suspend 4th Chord		Bb	0 5 7 10	3	G			
C Eb F Bb .	4	1 3b 4 7b .	100101000010	2370	Theoretical - No Known Name		Eb	0 3 5 10	4	C			
C D A .	3	1 2 6 .	101000000100	2564	Theoretical - No Known Name		C	0 2 9	1	A			
C G Bb .	3	1 5 7b .	100000010010	2066	Theoretical - No Known Name		Bb	0 7 10	3	G			
C Eb F .	3	1 3b 4 .	100101000000	2368	Theoretical - No Known Name		Eb	0 3 5	4	C			
C A .	2	1 6 .	100000000100	2052	Major Sixth Interval		C	0 9	1	A			
C Eb .	2	1 3b .	100100000000	2304	Flattened Third interval		Eb	0 3	4	C			
C G A .	3	1 5 6 .	100000010100	2068	Theoretical - No Known Name		C	0 7 9	1	A			
C D F .	3	1 2 4 .	101001000000	2624	Theoretical - No Known Name		F	0 2 5	2	D			
C Eb Bb .	3	1 3b 7b .	100100000010	2306	Ute Tritone (North America)		Eb	0 3 10	4	C			
C D E G A .	5	1 2 3 5 6 .	101010010100	2708	Major Pentatonic	Chord C69 - Gong (China) Raga Bhopali, Mohanam, Deskar, Bilahari (India)	C	0 2 4 7 9	1	E			
C D F G A .	5	1 2 4 5 6 .	101001010100	2644	Ritusen Japan, Scottish Pentatonic (as Slendro example)	Zhi (China) Raga Devakriya (India) Ujo (Korea)	F	0 2 5 7 9	2	A			
C D F G Bb .	5	1 2 4 5 7b .	101001010010	2642	Egyptian , Suspended Pentatonic		Bb	0 2 5 7 10	3	D			
C Eb F G Bb .	5	1 3b 4 5 7b .	100101010010	2386	Blues Pentatonic Minor, Hard Japan descending	Chord Cm11 - Pyongjo Kyemyonjo (Korea) Minyo (Japan)	Eb	0 3 5 7 10	4	G			
C Eb F Ab Bb .	5	1 3b 4 6b 7b .	100101001010	2378	Blues Pentatonic Minor, Hard Japan descending 	"3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)3b¢s 
Raga Malkauns 11/567891011/4 in 12edo)"	Ab	0 3 5 8 10	5	C			
C D E A .	4	1 2 3 6 .	101010000100	2692	Theoretical - No Known Name		C	0 2 4 9	1	E			
C D G Bb .	4	1 2 5 7b .	101000010010	2578	Theoretical - No Known Name		Bb	0 2 7 10	3	D			
C Eb F G .	4	1 3b 4 5 .	100101010000	2384	Theoretical - No Known Name	Chord Cminor sus4	Eb	0 3 5 7	4	G			
C F Ab Bb .	4	1 4 6b 7b .	100001001010	2122	Theoretical - No Known Name		Ab	0 5 8 10	5	C			
C E A .	3	1 3 6 .	100010000100	2180	Minor Triad e.g. Am Raga Bilwadala (India)		C	0 4 9	1	E			
C Eb G .	3	1 3b 5 .	100100010000	2320	Minor Triad e.g. Cm	Chord C minor	Eb	0 3 7	4	G			
C F Ab .	3	1 4 6b  .	100001001000	2120	Minor Triad e.g. Fm		Ab	0 5 8	5	C			
C E .	2	1 3 .	100010000000	2176	Major Third Interval		C	0 4	1	E			
C Ab .	2	1 6b .	100000001000	2056	Flat Sixth Interval		Ab	0 8	5	C			
C D E .	3	1 2 3 .	101010000000	2688	Do Re Mi 		C	0 2 4	1	E			
C D Bb .	3	1 2 7b .	101000000010	2562	Theoretical - No Known Name		Bb	0 2 10	3	D			
C Ab Bb .	3	1 6b 7b .	100000001010	2058	Theoretical - No Known Name		Ab	0 8 10	5	C			
C E G A .	4	1 3 5 6 .	100010010100	2196	Minor 7th e.g. Am7 = C6	Chord C6	C	0 4 7 9	1	E			
C D F A .	4	1 2 4 6 .	101001000100	2628	Minor 7th e.g. Dm7 = F6 Raga Bhavani (India)		F	0 2 5 9	2	A			
C Eb G Bb .	4	1 3b 5 7b .	100100010010	2322	Minor Seventh Chord e.g. Cm7 = Eb6	Bi Yu (China)	Eb	0 3 7 10	4	G			
C Eb F Ab .	4	1 3b 4 6b .	100101001000	2376	Theoretical - No Known Name		Ab	0 3 5 8	4	C			
C E G .	3	1 3 5 .	100010010000	2192	Major Triad e.g. C	Chord C Major	C	0 4 7	1	E			
C F A .	3	1 4 6 .	100001000100	2116	Major Triad e.g. F	Chord F Major	F	0 5 9	2	A			
C Eb Ab .	3	1 3b 6b .	100100001000	2312	Major Triad e.g. Ab		Ab	0 3 8	5	C			
C D E G .	4	1 2 3 5 .	101010010000	2704	Eskimo Tetratonic		C	0 2 4 7	1	E			
C F G A  .	4	1 4 5 6 .	100001010100	2132	Major add 9 e.g. F add9		F	0 5 7 9	2	A			
C D F Bb .	4	1 2 4 7b .	101001000010	2626	Major add 9 e.g. Bb add9		Bb	0 2 5 10	3	D			
